rowname,Estimate.Intercept,Est.Error.Intercept,Q2.5.Intercept,Q97.5.Intercept,Estimate.pred_climb_difficulty,Est.Error.pred_climb_difficulty,Q2.5.pred_climb_difficulty,Q97.5.pred_climb_difficulty,n
?Vetcov Serghei,-0.515520036568557,0.8918152022172178,-2.4628334780521444,1.0862219045603885,0.1326289302337817,0.08626403312546663,-0.03944154382057846,0.2985858877149298,19
Aaen Jorgensen Jonas,0.6511641498557804,0.5041942737532389,-0.3523772917927255,1.5937072068834146,-0.13336560581410403,0.1224690422678353,-0.37960745514361993,0.093776235412218,46
Aalrust Hakon,0.20058862666544913,0.6000097454812955,-1.0410231825313918,1.2630388633691618,0.01569469245377301,0.13266353026780572,-0.23540342180628684,0.27254995627024126,32
Aasheim Aksel,-0.49337420284206096,0.9207872220512515,-2.4073227700619912,1.1734556273392545,0.015570331177394876,0.1393222653241393,-0.25679538166406723,0.2731992158444895,19
Aaskov Jeppe,-0.5330107730269155,1.1557101302953785,-2.870779314246019,1.5488514605016106,0.03167903176638071,0.15700745719759304,-0.2810326591451092,0.3410897964481939,4
Aasvold Kristian,0.33092570259771664,0.4826969317425806,-0.6514787967716369,1.2374873590568738,0.2422750744290073,0.09786876956085128,0.050920312316886596,0.4351995062580388,48
Abay Burak,-0.07999239069397869,1.1795283896025455,-2.4708367927779573,2.1415519354772705,0.12839387479297437,0.13425143110532362,-0.1327369845094824,0.3993390800637589,2
Abdul Halil Mohamad Izzat Hilmi,1.7984234243157668,1.0969742600153896,-0.3522745646703172,3.885090804327678,-0.14367795984772222,0.1445651171708462,-0.4372692664309148,0.14260600784757843,4
Aberasturi Jon,3.326199347344673,0.2970101266875662,2.7397510942475285,3.9225324316676584,-0.475890810535109,0.09196542757093447,-0.6594203385562818,-0.3051080249062038,126
Abraham Daniel,-1.1810479169087684,0.9772736618842566,-3.248930869000403,0.5769487318330337,0.06598462978259276,0.1464592406545011,-0.22074760163805374,0.35356480977781424,18
Abraham Meron,1.0320045681989571,0.8279080202872279,-0.6448961569745684,2.5570846094084256,-0.06846585726635018,0.11343768403734675,-0.30092794303914616,0.1445909857317197,13
Abrahamsen Jonas,1.4418909389712313,0.4382280410967491,0.5817958244870493,2.2407392277134646,-0.16245623989754368,0.10787529054740831,-0.39038521622812594,0.04186341495857583,43
Abu-Fares Saned,-0.502568331192374,1.1195933976351993,-2.8415828825349054,1.5895881817043227,0.028297916162548224,0.15533284887935503,-0.27687535392647716,0.34271864820542375,4
Acar Fethi,-0.4665534690517481,1.1587568514027453,-2.7998680877278774,1.6869730059018622,0.00215071203392528,0.14761230761525768,-0.27881406991580976,0.2895659151352722,5
Acevedo Janier,1.0772574204887655,0.9383021826222139,-0.8330692053098818,2.7898517605048982,-0.04232691920686962,0.11302882421426029,-0.2611505782046666,0.17376896854022772,11
