bib,low,high,low_dist,high_dist,diff,length,meters_sec,climb,zscore
1,2019-07-21T13:32:38Z,2019-07-21T14:00:29Z,38.45807429993275,48.420257229245436,27.85,9.96218292931269,5.961809054047092,peguere,0.8799385811744429
2,2019-07-21T13:32:38Z,2019-07-21T14:00:29Z,38.45900439858456,48.441503057316886,27.85,9.982498658732325,5.9739668813478906,peguere,0.8920964084752416
3,2019-07-21T13:32:38Z,2019-07-21T14:01:19Z,38.47871801000956,48.41009728403572,28.6833333333333,9.931379274026163,5.77070265777232,peguere,0.6888321848996712
4,2019-07-21T13:32:38Z,2019-07-21T14:04:40Z,38.43949729642475,48.40202732503962,32.0333333333333,9.962530028614871,5.183418329144054,peguere,0.10154785627140495
5,2019-07-21T13:32:38Z,2019-07-21T14:01:50Z,38.44087832374353,48.4158381436149,29.2,9.974959819871366,5.693470216821555,peguere,0.611599743948906
6,2019-07-21T13:32:38Z,2019-07-21T14:00:29Z,38.446882380220444,48.44203747364579,27.85,9.995155093425346,5.981541049326958,peguere,0.8996705764543087
7,2019-07-21T13:32:38Z,2019-07-21T14:06:23Z,38.43548260855276,48.403171286694466,33.75,9.967688678141705,4.922315396613188,peguere,-0.15955507625946108
8,2019-07-21T13:32:38Z,2019-07-21T14:01:19Z,38.48113783891077,48.421957521653354,28.6833333333333,9.940819682742585,5.776188078293194,peguere,0.6943176054205447
11,2019-07-21T13:36:24Z,2019-07-21T14:12:15Z,38.47,48.3725462661816,35.85,9.902546266181602,4.603694219517249,peguere,-0.47817625335540015
12,2019-07-21T13:32:38Z,2019-07-21T14:00:29Z,38.4658937133873,48.438834850902694,27.85,9.972941137515392,5.968247239686051,peguere,0.8863767668134024
13,2019-07-21T13:36:24Z,2019-07-21T14:13:03Z,38.40048969517055,48.38018804037995,36.65,9.9796983452094,4.538289379358527,peguere,-0.5435810935141223
14,2019-07-21T13:31:20Z,2019-07-21T14:05:55Z,38.416692264729086,48.4214454110037,34.5833333333333,10.004753146274616,4.821567781337164,peguere,-0.26030269153548513
15,2019-07-21T13:32:38Z,2019-07-21T14:00:45Z,38.51218973140198,48.43391332039325,28.1166666666667,9.92172358899127,5.88128250681166,peguere,0.799412033939011
16,2019-07-21T13:32:38Z,2019-07-21T14:06:23Z,38.428044189438985,48.42828066258287,33.75,10.000236473143886,4.9383883817994505,peguere,-0.14348209107319843
17,2019-07-21T13:32:38Z,2019-07-21T14:11:04Z,38.4923968631834,48.511666259511706,38.4333333333333,10.019269396328305,4.344869642813662,peguere,-0.737000830058987
21,2019-07-21T13:32:38Z,2019-07-21T14:00:29Z,38.434562006089664,48.421196663148045,27.85,9.986634657058381,5.976442044918241,peguere,0.8945715720455922
22,2019-07-21T13:32:38Z,2019-07-21T14:09:11Z,38.40754505133301,48.409215097025154,36.55,10.001670045692144,4.560725055035178,peguere,-0.521145417837471
23,2019-07-21T13:32:38Z,2019-07-21T14:03:26Z,38.41462063366595,48.42613062542563,30.8,10.01150999175968,5.41748376177472,peguere,0.33561328890207065
24,2019-07-21T13:32:38Z,2019-07-21T14:06:52Z,38.43165654999177,48.40837756468187,34.2333333333333,9.9767210146901,4.857215683880282,peguere,-0.22465478899236668
