StravaSegment,OrderInRace,AtKM,race,year,stage,class
DISCESACARNAIO-SANPIERO,1,208,giro d'italia,2021,12,2.UWT
DiscesaCalla-SantaSofia,1,190,giro d'italia,2021,12,2.UWT
discesaOmomortoStia,1,148,giro d'italia,2021,12,2.UWT
Olmo-Sieci,1,111,giro d'italia,2021,12,2.UWT
TTZTRIATHLON-PASSOGODI-SCANNODHATTACK,1,48,giro d'italia,2021,9,2.UWT
DiscesaUfficialedaForcaCarusoaCollarmele,1,110,giro d'italia,2021,9,2.UWT
Goriano-CastelDiIeri(SP9),1,83,giro d'italia,2021,9,2.UWT
matesesanniodiscesa2,1,140,giro d'italia,2021,8,2.UWT
DiscesaBoccadellaSelva,1,127,giro d'italia,2021,8,2.UWT
Sestola-Fanano,1,180,giro d'italia,2021,4,2.UWT
LamaMocogno-PonteStrettaraDH,1,163,giro d'italia,2021,4,2.UWT
CastelloCarpinei-ColombaiaDH,1,118,giro d'italia,2021,4,2.UWT
Toptobottom,1,180,tour de france,2021,2,2.UWT
UCHONLAVAUDESCENTED228,1,239,tour de france,2021,7,2.UWT
Runchydescente,1,220,tour de france,2021,7,2.UWT
DownhillMontSaxonnex-Scionzier,1,111,tour de france,2021,8,2.UWT
TopofRommetoReposir,1,128.5,tour de france,2021,8,2.UWT
colcolombieredescenttotopofvillage,1,148,tour de france,2021,8,2.UWT
D218BDescentFromBisanneTurnOff,1,63,tour de france,2021,9,2.UWT
cormetd'Arêches/StGuérindescent,1,83,tour de france,2021,9,2.UWT
CormetdeRoselendtoRuedelaBourgeat,1,112.5,tour de france,2021,9,2.UWT
DHPassoRest-bivioM.gaGrasia,1,155,giro d'italia,2021,14,2.UWT
DescendingPassodiGiao,1,150,giro d'italia,2021,16,2.UWT
S.Giacomo-Brentonico,1,165.5,giro d'italia,2021,17,2.UWT
Brentonico-Chizzola(down),1,173.5,giro d'italia,2021,17,2.UWT
Fresco,1,136,giro d'italia,2021,19,2.UWT
SanBernardinodescent(N),1,114,giro d'italia,2021,20,2.UWT
PassoSpluga-MontesplugaDH,1,138,giro d'italia,2021,20,2.UWT
DescentFullGas-VengaVenga!!,1,157,criterium du dauphine,2021,6,2.UWT
CormetdeRoselendtoRuedelaBourgeat,1,141,criterium du dauphine,2021,7,2.UWT
cormetd'Arêches/StGuérindescent,1,113,criterium du dauphine,2021,7,2.UWT
JouxPlanefulldescent,1,141,criterium du dauphine,2021,8,2.UWT
Colombieredescentfull,1,91,criterium du dauphine,2021,8,2.UWT
HRA18-AravisDescent,1,63,criterium du dauphine,2021,8,2.UWT
GotthardDownhill,1,154,tour de suisse,2021,8,2.UWT
DiscesaPasso-Olivone,1,70,tour de suisse,2021,8,2.UWT
Oberalp-Disentisdownhill,1,32,tour de suisse,2021,8,2.UWT
LukmanierStaumauer-Fontanivas,1,119,tour de suisse,2021,6,2.UWT
DescenteLeSépey-Aigle,1,39.5,tour de suisse,2021,5,2.UWT
