Race,Year,URL,race_name,Updated,n,race,type
BinckBank Tour 2020 Winner,2020,https://www.nicerodds.co.uk/binckbank-tour,Who wins BinckBank Tour 2020?,2020-09-26T20:00:19Z,216,race/benelux-tour/2020,GC
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-05T09:00:45Z,344,race/benelux-tour/2021,7
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-04T23:59:44Z,344,race/benelux-tour/2021,7
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-04T20:00:45Z,328,race/benelux-tour/2021,7
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-04T17:00:48Z,135,race/benelux-tour/2021,6
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-04T09:00:47Z,276,race/benelux-tour/2021,6
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-03T23:59:46Z,368,race/benelux-tour/2021,6
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-03T20:00:43Z,368,race/benelux-tour/2021,5
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-02T23:59:45Z,440,race/benelux-tour/2021,5
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-02T20:00:43Z,324,race/benelux-tour/2021,5
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-02T09:00:47Z,428,race/benelux-tour/2021,4
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-01T23:59:47Z,428,race/benelux-tour/2021,4
