stage,race,race_standard,year,class,time_trial,one_day_race,grand_tour,type,sof,tt,classics,n
5,binck bank tour,Binckbank Tour,2019,2.UWT,0,0,0,-132.4567417,0.660357051,-31.40211904,-45.29701709,9
6,binck bank tour,Binckbank Tour,2018,2.UWT,0,0,0,-16.1302654,36.47099077,17.39567047,67.03809928,9
6,binck bank tour,Binckbank Tour,2019,2.UWT,1,0,0,11.69670832,8.021221649,-13.04203937,19.57284644,6
7,binck bank tour,Binckbank Tour,2018,2.UWT,0,0,0,-29.76301709,52.91485107,23.52337514,83.36774969,10
7,binck bank tour,Binckbank Tour,2019,2.UWT,0,0,0,-34.47940079,28.48285704,19.39244994,56.90100497,9
1,binckbank tour,Binckbank Tour,2017,2.UWT,0,0,0,-136.5130996,31.86709089,-24.73227681,21.7669288,8
2,binckbank tour,Binckbank Tour,2017,2.UWT,1,0,0,11.67326711,22.71619404,-38.35963817,34.62355645,9
3,binckbank tour,Binckbank Tour,2017,2.UWT,0,0,0,-128.6566869,23.61395357,-19.11926752,-1.679037218,9
4,binckbank tour,Binckbank Tour,2017,2.UWT,0,0,0,-146.26467,28.36686523,-19.92270508,9.993302905,10
5,binckbank tour,Binckbank Tour,2017,2.UWT,0,0,0,-116.0257592,86.2828117,16.85767494,112.1256914,9
6,binckbank tour,Binckbank Tour,2017,2.UWT,0,0,0,-29.33898901,64.48429419,5.118710979,85.02866208,10
7,binckbank tour,Binckbank Tour,2017,2.UWT,0,0,0,-79.66398183,93.05236464,7.748251308,114.5720333,10
1,bretagne classic - ouest-france,Bretagne Classic,2016,1.UWT,0,1,0,-165.7916136,52.29009481,1.976247277,64.033753,10
1,bretagne classic - ouest-france,Bretagne Classic,2017,1.UWT,0,1,0,-214.8722753,85.94406878,30.14512949,70.79840317,9
1,bretagne classic - ouest-france,Bretagne Classic,2018,1.UWT,0,1,0,-19.68123967,23.55131333,11.16897944,40.0137539,7
1,bretagne classic - ouest-france,Bretagne Classic,2019,1.UWT,0,1,0,-11.20709513,33.87645214,24.38860029,62.30128042,10
1,cadel evans great ocean road race,Cadel Evans Road Race,2017,1.UWT,0,1,0,10.42008097,-8.544463187,4.705760695,7.384627702,8
1,cadel evans great ocean road race,Cadel Evans Road Race,2018,1.UWT,0,1,0,-38.0558654,-0.933884004,4.081722909,10.4435595,9
1,cadel evans great ocean road race,Cadel Evans Road Race,2019,1.UWT,0,1,0,-69.21323044,10.58727516,-5.859074717,7.203788723,10
1,cadel evans great ocean road race,Cadel Evans Road Race,2020,1.UWT,0,1,0,-46.61073578,17.55180239,-4.392262353,6.849417338,9
1,clasica ciclista san sebastian,San Sebastian,2014,1.UWT,0,1,0,17.43737633,137.8940151,43.23900693,38.28322044,9
1,clasica ciclista san sebastian,San Sebastian,2015,1.UWT,0,1,0,55.93308558,190.5076599,24.3376354,-2.539580097,10
1,clasica ciclista san sebastian,San Sebastian,2016,1.UWT,0,1,0,30.24991198,145.8558426,36.02891414,28.18960823,10
1,clasica ciclista san sebastian,San Sebastian,2017,1.UWT,0,1,0,11.97217031,114.368157,8.504016588,56.6266153,10
1,clasica ciclista san sebastian,San Sebastian,2018,1.UWT,0,1,0,21.07303018,123.2197338,34.82933795,22.63181805,9
1,clasica ciclista san sebastian,San Sebastian,2019,1.UWT,0,1,0,24.19179232,124.2496901,27.20180668,28.15702622,8
0,criterium du dauphine,Dauphine,2016,2.UWT,1,0,0,70.07925331,174.9829327,-0.056982318,-27.75789449,10
0,criterium du dauphine,Dauphine,2018,2.UWT,1,0,0,20.41624469,14.04191613,-33.21588912,28.78627208,10
1,criterium du dauphine,Dauphine,2014,2.UWT,1,0,0,59.63908174,114.8535897,-44.17484014,-18.71082096,10
1,criterium du dauphine,Dauphine,2015,2.UWT,0,0,0,-74.83105738,80.04240033,44.26357323,-20.95889562,9
1,criterium du dauphine,Dauphine,2016,2.UWT,0,0,0,-133.2743098,14.20517287,-11.28047459,-21.70368459,9
1,criterium du dauphine,Dauphine,2017,2.UWT,0,0,0,3.182098018,98.90069162,63.94591697,3.4538901,9
1,criterium du dauphine,Dauphine,2018,2.UWT,0,0,0,-5.839375391,49.17753443,8.008198778,28.04352766,9
