WCS_Rider,PCS_Rider
"Großschartner, Felix",Großschartner Felix
"Wellens, Tim",Wellens Tim
"Rubio, Diego",Rubio Diego
"Kiryienka, Vasil",Kiryienka Vasil
"Ludvigsson, Tobias",Ludvigsson Tobias
"Pinot, Thibaut",Pinot Thibaut
"Landa, Mikel",Landa Mikel
"Keizer, Martijn",Keizer Martijn
"Owsian, Lukasz",Owsian Lukasz
"Budding, Martijn",Budding Martijn
"Wallays, Jens",Wallays Jens
"Cousin, Jérôme",Cousin Jérôme
"Minnaard, Marco",Minnaard Marco
"Campenaerts, Victor",Campenaerts Victor
"Lijke, Nick van der",Lijke Nick van der
"Bravo, Garikoitz",Bravo Garikoitz
"Paterski, Maciej",Paterski Maciej
"Clarke, Simon",Clarke Simon
"Novak, Domen",Novak Domen
"Pfingsten, Christoph",Pfingsten Christoph
"Oien, Justin",Oien Justin
"Benta, João",Benta João
"Goethem, Brian van",Goethem Brian van
"De Vos, Adam",De Vos Adam
"Sanchez, Daniel",Sanchez Daniel
"Matias, João",Matias João
"Greipel, André",Greipel André
"Gallopin, Tony",Gallopin Tony
"Bystrøm, Sven Erik",Bystrøm Sven Erik
"Gomes, Luís",Gomes Luís
"Mas, Enric",Mas Enric
"Machado, Tiago",Machado Tiago
"Devenyns, Dries",Devenyns Dries
"Štybar, Zdenek",Štybar Zdenek
"Nocentini, Rinaldo",Nocentini Rinaldo
"Mullen, Ryan",Mullen Ryan
"Hoorn, Taco van der",Hoorn Taco van der
"Smith, Dion",Smith Dion
"Looij, André",Looij André
"Schwarzmann, Michael",Schwarzmann Michael
"Deignan, Philip",Deignan Philip
"Asselman, Jesper",Asselman Jesper
"Osorio, Juan",Osorio Juan
"Vanspeybrouck, Pieter",Vanspeybrouck Pieter
"King, Ben",King Ben
"De Mateos, Vicente",De Mateos Vicente
"Benoot, Tiesj",Benoot Tiesj
"Kalma, Guy",Kalma Guy
"Vogt, Mario",Vogt Mario
"Griffin, Logan",Griffin Logan
"Whitehouse, Daniel",Whitehouse Daniel
"Hill, Ben",Hill Ben
"Okubo, Jin",Okubo Jin
"Bae, Dae-hyeon",Bae Dae-hyeon
"Crawford, Jai",Crawford Jai
"Suzuki, Ryu",Suzuki Ryu
"Park, Keon-woo",Park Keon-woo
"Peralta, Arjay",Peralta Arjay
"Nakajima, Yasuharu",Nakajima Yasuharu
"Park, Sang-hong",Park Sang-hong
"Nohales, Edgar",Nohales Edgar
"Omote, Toshiki",Omote Toshiki
"Mazuki, Fakhruddin",Mazuki Fakhruddin
"Felipe, Marcelo",Felipe Marcelo
"Ayazbayev, Maxat",Ayazbayev Maxat
"Boonratanathanakom, T..",Boonratanathanakom T..
"Mohd Bakri, Sofian",Mohd Bakri Sofian
"Loh, Sea Keong",Loh Sea Keong
"Mosca, Jacopo",Mosca Jacopo
"Rota, Lorenzo",Rota Lorenzo
"Mohd Zamri, Eiman",Mohd Zamri Eiman
"Orjuela, Fernando",Orjuela Fernando
"Gibbons, Ryan",Gibbons Ryan
"Abdul Halil, Mohammad",Abdul Halil Mohammad
"Barbin, Enrico",Barbin Enrico
"Manan, Anuar",Manan Anuar
"Cecchin, Alberto",Cecchin Alberto
"Niyonshuti, Adrien",Niyonshuti Adrien
"Kamal, Ameer",Kamal Ameer
"Janse van Rensburg, J..",Janse van Rensburg J..
"Park, Sung-baek",Park Sung-baek
"Ebsen, John",Ebsen John
"Jaramillo, Daniel",Jaramillo Daniel
"Paredes, Wilmar",Paredes Wilmar
"Mat Amin, Mohd Shahrul",Mat Amin Mohd Shahrul
"Yeung, Ronald",Yeung Ronald
"Niño, Victor",Niño Victor
"Pacinotti, Niccolò",Pacinotti Niccolò
"Perez, Dominic",Perez Dominic
"Astafyev, Stepan",Astafyev Stepan
"Seo, Joon-yong",Seo Joon-yong
"Sumiyoshi, Kota",Sumiyoshi Kota
"Othman, Afiq",Othman Afiq
"Pérez, Jahir",Pérez Jahir
"Higuita, Sergio",Higuita Sergio
"Debesay, Mekseb",Debesay Mekseb
"Bayly, Cameron",Bayly Cameron
"Gidich, Yevgeniy",Gidich Yevgeniy
"Harper, Chris",Harper Chris
"Roe, Timothy",Roe Timothy
"Masnada, Fausto",Masnada Fausto
"Sunderland, Scott",Sunderland Scott
"Giacoppo, Anthony",Giacoppo Anthony
"Andriato, Rafael",Andriato Rafael
"Kim, Dae-yeon",Kim Dae-yeon
"Hucker, Robbie",Hucker Robbie
"Mareczko, Jakub",Mareczko Jakub
"Mohd Zariff, Nur Aiman",Mohd Zariff Nur Aiman
"Ewart, Jesse",Ewart Jesse
"Huang, En",Huang En
"Mori, Manuele",Mori Manuele
"Maestri, Mirco",Maestri Mirco
"Lozano, David",Lozano David
"Zakharov, Artyom",Zakharov Artyom
"Ershov, Artur",Ershov Artur
"Canola, Marco",Canola Marco
"Calabria, Fabio",Calabria Fabio
"Ðurasek, Kristijan",Ðurasek Kristijan
"Sveshnikov, Kirill",Sveshnikov Kirill
"Clancy, Stephen",Clancy Stephen
"Brutt, Pavel",Brutt Pavel
"Kittel, Marcel",Kittel Marcel
"Cavendish, Mark",Cavendish Mark
"Arcas, Jorge",Arcas Jorge
"Konrad, Patrick",Konrad Patrick
"Valls, Rafael",Valls Rafael
"Teuns, Dylan",Teuns Dylan
"Alaphilippe, Julian",Alaphilippe Julian
"Chavanel, Sylvain",Chavanel Sylvain
"Koren, Kristjan",Koren Kristjan
"Hardy, Romain",Hardy Romain
"Rowe, Luke",Rowe Luke
"Wallays, Jelle",Wallays Jelle
"Degenkolb, John",Degenkolb John
"Wynants, Maarten",Wynants Maarten
"Simon, Julien",Simon Julien
"Oomen, Sam",Oomen Sam
"Combaud, Romain",Combaud Romain
"Latour, Pierre",Latour Pierre
"Matthews, Michael",Matthews Michael
"Edet, Nicolas",Edet Nicolas
"Zakarin, Ilnur",Zakarin Ilnur
"Calmejane, Lilian",Calmejane Lilian
"Périchon, Pierre-Luc",Périchon Pierre-Luc
"Zurlo, Federico",Zurlo Federico
"Berhane, Natnael",Berhane Natnael
"Di Grégorio, Rémy",Di Grégorio Rémy
"Bennett, Sam",Bennett Sam
"De Marchi, Alessandro",De Marchi Alessandro
"Sepúlveda, Eduardo",Sepúlveda Eduardo
"Henao, Sergio",Henao Sergio
"Jeannesson, Arnold",Jeannesson Arnold
"Curvers, Roy",Curvers Roy
"Lampaert, Yves",Lampaert Yves
"Valgren, Michael",Valgren Michael
"Anacona, Winner",Anacona Winner
"Herrada, José",Herrada José
"Yates, Simon",Yates Simon
"López, David",López David
"Barguil, Warren",Barguil Warren
"Fernández, Delio",Fernández Delio
"Fraile, Omar",Fraile Omar
"Polanc, Jan",Polanc Jan
"Finetto, Mauro",Finetto Mauro
"Henao, Sebastián",Henao Sebastián
"Soler, Marc",Soler Marc
"Sutherland, Rory",Sutherland Rory
"Petilli, Simone",Petilli Simone
"Bonusi, Raffaello",Bonusi Raffaello
"Planet, Charles",Planet Charles
"Ballerini, Davide",Ballerini Davide
"Morabito, Steve",Morabito Steve
"Amador, Andrey",Amador Andrey
"Moscon, Gianni",Moscon Gianni
"Wackermann, Luca",Wackermann Luca
"Grivko, Andrei",Grivko Andrei
"Frapporti, Marco",Frapporti Marco
"Gougeard, Alexis",Gougeard Alexis
"Uchima, Kohei",Uchima Kohei
"Filosi, Iuri",Filosi Iuri
"Kump, Marko",Kump Marko
"Mamykin, Matvei",Mamykin Matvei
"Thomas, Geraint",Thomas Geraint
"Yates, Adam",Yates Adam
"Urán, Rigoberto",Urán Rigoberto
"Špilak, Simon",Špilak Simon
"Dumoulin, Tom",Dumoulin Tom
"Lammertink, Maurits",Lammertink Maurits
"Terpstra, Niki",Terpstra Niki
"Cattaneo, Mattia",Cattaneo Mattia
"Garderen, Tejay van",Garderen Tejay van
"Felline, Fabio",Felline Fabio
"Majka, Rafal",Majka Rafal
"Gastauer, Ben",Gastauer Ben
"Kochetkov, Pavel",Kochetkov Pavel
"Rolland, Pierre",Rolland Pierre
"Affonso, Murilo",Affonso Murilo
"Nazaret, Magno",Nazaret Magno
"Armée, Sander",Armée Sander
"Bol, Jetse",Bol Jetse
"Canty, Brendan",Canty Brendan
"Vanendert, Jelle",Vanendert Jelle
"De Clercq, Bart",De Clercq Bart
"Gesink, Robert",Gesink Robert
"Ackermann, Pascal",Ackermann Pascal
"Serry, Pieter",Serry Pieter
"Taaramäe, Rein",Taaramäe Rein
"Kennaugh, Peter",Kennaugh Peter
"Nieve, Mikel",Nieve Mikel
"Woods, Michael",Woods Michael
"Bennett, George",Bennett George
"Atapuma, Darwin",Atapuma Darwin
"Navarro, Daniel",Navarro Daniel
"Cataldo, Dario",Cataldo Dario
"Froome, Chris",Froome Chris
