stage_name,stage,race,year,climb_difficulty,HC,X1,X2
Stage 3,3,La Route d'Occitanie - La Depeche du Midi,2019,35,0,3,0
NA,1,La Fleche Wallonne,2013,5,0,0,0
NA,1,La Fleche Wallonne,2014,5,0,0,0
NA,1,La Fleche Wallonne,2015,5,0,0,0
NA,1,La Fleche Wallonne,2016,5,0,0,0
NA,1,La Fleche Wallonne,2017,5,0,0,0
NA,1,La Fleche Wallonne,2018,5,0,0,0
NA,1,La Fleche Wallonne,2019,5,0,0,0
NA,1,Liege - Bastogne - Liege,2013,5,0,0,0
NA,1,Liege - Bastogne - Liege,2014,5,0,0,0
NA,1,Liege - Bastogne - Liege,2015,5,0,0,0
NA,1,Liege - Bastogne - Liege,2016,5,0,0,0
NA,1,Liege - Bastogne - Liege,2017,5,0,0,0
NA,1,Liege - Bastogne - Liege,2018,5,0,0,0
NA,1,Liege-Bastogne-Liege,2019,5,0,0,0
NA,1,Milano - Sanremo,2016,5,0,0,0
NA,1,Milano-Sanremo,2013,5,0,0,0
NA,1,Milano-Sanremo,2014,5,0,0,0
NA,1,Milano-Sanremo,2015,5,0,0,0
NA,1,Milano-Sanremo,2017,5,0,0,0
NA,1,Milano-Sanremo,2018,5,0,0,0
NA,1,Milano-Sanremo,2019,5,0,0,0
One day race,1,Mont Ventoux Denivele Challenge,2019,30,1,0,0
NA,1,Omloop Het Nieuwsblad,2017,5,0,0,0
NA,1,Omloop Het Nieuwsblad Elite,2018,5,0,0,0
NA,1,Omloop Het Nieuwsblad Elite,2019,5,0,0,0
Stage 6,6,Paris - Nice,2013,20,0,1,1
Stage 7,7,Paris - Nice,2014,20,0,1,1
Stage 6,6,Paris - Nice,2015,30,0,1,4
Stage 6,6,Paris - Nice,2016,35,0,1,4
Stage 6,6,Paris - Nice,2017,20,0,0,4
Stage 7,7,Paris - Nice,2018,30,1,0,1
Stage 7,7,Paris - Nice,2019,35,1,0,1
NA,1,Paris - Roubaix,2013,0,0,0,0
NA,1,Paris - Roubaix,2014,0,0,0,0
NA,1,Paris - Roubaix,2015,0,0,0,0
NA,1,Paris - Roubaix,2016,0,0,0,0
NA,1,Paris-Roubaix,2017,0,0,0,0
NA,1,Paris-Roubaix,2018,0,0,0,0
NA,1,Paris-Roubaix,2019,0,0,0,0
Stage 4,4,Presidential Cycling Tour of Turkey,2017,20,NA,NA,NA
Stage 4,4,Presidential Cycling Tour of Turkey,2018,15,0,0,1
Stage 5,5,Presidential Cycling Tour of Turkey,2019,20,1,0,0
NA,1,Prudential RideLondon-Surrey Classic,2017,0,0,0,0
NA,1,Prudential RideLondon-Surrey Classic,2018,0,0,0,0
NA,1,Record Bank E3 Harelbeke,2017,5,0,0,0
NA,1,Record Bank E3 Harelbeke,2018,5,0,0,0
