stage,race,year,length,Type,Segment,Valid,AtKM
5,vuelta al pais vasco,2017,139.8,Hidden,TrabakuaUP,1,92
3,vuelta al pais vasco,2017,160.5,Visible,Mandubiazubitik,1,76
3,vuelta al pais vasco,2017,160.5,Visible,Udana,1,50
5,vuelta al pais vasco,2017,139.8,Hidden,ELGETA(Elorrio),1,45
2,vuelta aragon,2019,186.2,Visible,SantaCruz-SanJuandelaPeña,1,134
2,vuelta ciclista a la region de murcia,2020,179.6,Visible,Gebas,1,142
2,vuelta ciclista a la region de murcia,2020,179.6,Visible,ColladoBermejo(Sur),1,119
2,vuelta ciclista a la region de murcia,2020,179.6,Visible,TankstationSiërraEspuna,1,72.5
1,vuelta ciclista a la region de murcia,2020,177.6,Visible,+++PuertoQuipar+++,1,140.5
1,vuelta ciclista a la region de murcia,2020,177.6,Hidden,PuertoFríoPremioSierradelaPila,1,82.5
1,vuelta ciclista a la region de murcia,2020,177.6,Visible,Fortuna-LaGarapacha,1,75.5
1,vuelta ciclista a la region de murcia,2020,177.6,Visible,CabezodelaPlata(Sur),1,24
2,vuelta ciclista a la region de murcia costa calida,2019,180.3,Visible,CrestadelGallo(SanJoséhastaelcruce),1,166.5
2,vuelta ciclista a la region de murcia costa calida,2019,180.3,Visible,ColladoBermejo(Sur),1,102
2,vuelta ciclista a la region de murcia costa calida,2019,180.3,Hidden,subidaTotanaaLaSanta,1,90.5
2,vuelta ciclista comunidad de madrid,2019,163,Visible,SubidaalEncinarhastasegundaentrada,1,141.5
2,vuelta ciclista comunidad de madrid,2019,163,Visible,MPto.RobledondodesdePeguerinos,1,78.5
2,vuelta ciclista comunidad de madrid,2019,163,Visible,EWQR213SubidaHoyoStaMariadelaAlameda(Cota5),1,68
2,vuelta ciclista comunidad de madrid,2019,163,Visible,"SUBIDA""LAESCONDIDA""(VALDEMAQUEDA-LASNAVASDELMARQUES)",1,56.5
1,vuelta ciclista comunidad de madrid,2019,161,Visible,subidagasolineraChinchón,1,134
1,vuelta ciclista comunidad de madrid,2019,161,Visible,TorresBlando,1,92.5
1,vuelta ciclista comunidad de madrid,2019,161,Hidden,SubidadesdeValdilechahaciaPozuelodelRey,1,54
1,vuelta ciclista comunidad de madrid,2019,161,Hidden,subidaalMolinoAldehuelahastaelP.M.,1,25
1,liege - bastogne - liege,2017,258,Hidden,Côted'ans,1,258
1,liege - bastogne - liege,2017,258,Hidden,SaintNicolas,1,252.5
1,liege - bastogne - liege,2017,258,Hidden,LaRocheauxFauconsLBLparAvenueEglise,1,239
1,liege - bastogne - liege,2017,258,Hidden,803.CôtedelaRedoute,1,223
4,tirreno-adriatico,2018,219,Hidden,Sarnano-Sassotettoincr.SP120,1,219
1,liege - bastogne - liege,2017,258,Hidden,ColduMaquisard,1,211
4,presidential cycling tour of turkey,2018,206.9,Hidden,MeryemAnaHeykelsonrasi,1,207
3,la route d'occitanie,2018,198.4,Hidden,Montd'OlmesFullChallenge,1,198
1,liege - bastogne - liege,2017,258,Hidden,ColleRosier,1,198
6,paris - nice,2018,198,Visible,LaColle->LaBoundo,1,190
3,la route d'occitanie,2018,198.4,Hidden,ColdeMontségur,1,181
1,liege - bastogne - liege,2017,258,Hidden,FermedeLibert,1,180
2,int. osterreich-rundfahrt-tour of austria,2018,181.5,Hidden,Schonbergclimb,1,177
1,liege - bastogne - liege,2017,258,Hidden,Bellevauxomhoog,1,172
1,tour de romandie,2017,173.3,Visible,Monthey-Champéry,1,172
4,tirreno-adriatico,2017,171,Hidden,cronoterminillo(vazia-campoforogna),1,171
4,tirreno-adriatico,2018,219,Visible,saline-penna,1,171
4,tour de romandie,2017,163.5,Hidden,LeSepey-LowerSporting(Leysin)Climb,1,162
6,paris - nice,2018,198,Hidden,MonteeGourdondeRoutedeCipierecoteNord,1,160
2,amgen tour of california,2018,157,Hidden,ALLCLIMBCALIFORNIA2018,1,157
2,int. osterreich-rundfahrt-tour of austria,2018,181.5,Hidden,Axams,1,156
4,tirreno-adriatico,2017,171,Visible,CastelfrancodaRieti,1,152
4,tirreno-adriatico,2018,219,Hidden,xXSaline-BivioperGualdoXx,1,151
6,paris - nice,2018,198,Hidden,MontéedeCipières,1,149
4,tour de romandie,2017,163.5,Hidden,ColduPillon-full,1,144
4,tirreno-adriatico,2018,219,Hidden,PassoSant'AngelotoSanGinesio,1,138
3,la route d'occitanie,2018,198.4,Hidden,colduchioulalong,1,132
5,amgen tour of california,2017,125.5,Hidden,Baldy-GRRtosummit,1,126
4,tour de romandie,2018,149.2,Visible,Vex-LesCollons,1,122
6,paris - nice,2018,198,Hidden,MonteeColBasdunord,1,121
4,tour de romandie,2017,163.5,Visible,Zweisimmen-Saanenmöser(Mainstreet),1,119
1,liege - bastogne - liege,2017,258,Hidden,cotedesaintrochevolledig,1,116
2,amgen tour of california,2018,157,Hidden,CasitasPassMountain,1,109
8,paris - nice,2017,115.5,Hidden,6kmCold'Eze,1,101
6,paris - nice,2018,198,Hidden,Castellane-ColdeLuens,1,101
8,paris - nice,2018,110,Hidden,coldes4chemins,1,101
5,amgen tour of california,2017,125.5,Hidden,GlendoraMountainRoad,1,98
2,amgen tour of california,2017,143,Visible,MtHamiltonBackside,1,97
4,tour de romandie,2017,163.5,Hidden,Jaunpass,1,95
3,la route d'occitanie,2018,198.4,Visible,PasdeSouloumbrieclimb(NW),1,93
4,tour de romandie,2018,149.2,Visible,Fontany-Suen,1,93
1,tour de romandie,2017,173.3,Visible,Sion-Vex,1,90
4,tirreno-adriatico,2018,219,Hidden,xXCaccamoSerrapetronaFullXx,1,88
4,tour de romandie,2018,149.2,Hidden,Loye-Nax,1,86
4,tour de romandie,2018,149.2,Visible,Chalais-VercorinMarmotte,1,73
1,liege - bastogne - liege,2017,258,Hidden,CôteLaRocheenArdenne,1,70
8,paris - nice,2017,115.5,Hidden,ClmPeilleFSGT,1,68
8,paris - nice,2018,110,Hidden,climASPCPeille,1,68
1,tour de romandie,2017,173.3,Hidden,MontéeOllons/Sierre,1,65
4,tirreno-adriatico,2017,171,Visible,Cimina-BivioSoriano,1,57
2,int. osterreich-rundfahrt-tour of austria,2018,181.5,Visible,Stuben-Arlbergpass,1,53
3,la route d'occitanie,2018,198.4,Hidden,PortdeLers(LePort),1,53
8,paris - nice,2017,115.5,Hidden,ColdeCalaisonversantContes,1,52
8,paris - nice,2018,110,Hidden,ColdeCalaisonversantContes,1,52
4,int. osterreich-rundfahrt-tour of austria,2018,143,Visible,Felbertauern,1,41
8,paris - nice,2017,115.5,Hidden,ColChateauneuf-byBlausasctrail,1,37
8,paris - nice,2018,110,Hidden,ColChateauneuf-byBlausasctrail,1,37
4,presidential cycling tour of turkey,2018,206.9,Hidden,Benzinliktensonra-Sakartepe,1,37
5,amgen tour of california,2017,125.5,Hidden,GRRlastclimb,1,26
8,paris - nice,2017,115.5,Hidden,333melevation(uptoLevens),1,21
8,paris - nice,2018,110,Hidden,333melevation(uptoLevens),1,21
4,tour de romandie,2018,149.2,Hidden,Chamoson-Ovronnaz(climb),1,18
4,int. osterreich-rundfahrt-tour of austria,2018,143,Hidden,PassThurn!,1,15
2,volta ao algarve em bicicleta,2017,189.3,Hidden,nave-foia,1,189
2,volta ao algarve em bicicleta,2018,187.9,Hidden,AltodaFóia,1,187.9
2,volta ao algarve em bicicleta,2017,189.3,Hidden,PMPPomba,1,171
3,tour of slovenia,2017,167.7,Hidden,Roglaclimb,1,167.7
2,tour of oman,2018,167.5,Visible,AlJissahClimb-Full,1,163
5,tour of oman,2017,152.5,Visible,TourofOmanGreenMountainClimb,1,152.5
5,tour of oman,2018,152,Visible,TourofOmanGreenMountainClimb,1,152
2,tour of oman,2018,167.5,Visible,HamriyaHillandthensome,1,145
2,tour of the alps,2017,140.4,Visible,Heinfels-Innervillgraten,1,140
2,tour of oman,2017,142,Visible,AlJissahClimb-Full,1,138
2,volta ao algarve em bicicleta,2017,189.3,Hidden,OLDVERSION-SubidadasEirinhas,1,128
3,tour of slovenia,2018,175.7,Hidden,Jagoce-Celjskakoca,1,126
2,tour of oman,2017,142,Visible,HamriyaHillandthensome,1,123
2,volta ao algarve em bicicleta,2018,187.9,Hidden,SubidadaSapeira,1,123
2,tour of oman,2018,167.5,Hidden,Amarat(FULL-frombridgetosummit),1,119
2,tour of the alps,2017,140.4,Visible,MittewaldbisWiesen,1,118
2,volta ao algarve em bicicleta,2018,187.9,Visible,Alferce-S.Marcos2ªSubida,1,107
2,tour of oman,2017,142,Hidden,Amarat(FULL-frombridgetosummit),1,97
3,tour of slovenia,2017,167.7,Visible,Padeškivrh-Rogla,1,90
2,volta ao algarve em bicicleta,2018,187.9,Hidden,OLDVERSION-SubidadasEirinhas,1,71
2,tour of oman,2018,167.5,Hidden,FanjaHillclimb-backside,1,60
2,tour of oman,2017,142,Hidden,FanjaHillclimb-backside,1,38
2,tirreno-adriatico,2017,229,Visible,MontecatiniV.C.DaBacchettona,1,206
19,giro d'italia,2017,191,Visible,Piancavallo,1,191
1,giro d'italia,2017,206,Hidden,SanPantaleofull,1,184.5
8,giro d'italia,2017,189,Visible,SALITAPESCHICIDAVIESTE,1,182
17,giro d'italia,2017,219,Visible,Molina-bivio,1,179
19,tour de france,2017,222.5,Visible,ApttoPointu,1,177.5
20,giro d'italia,2017,190,Visible,Vaslstagna-FozaGPSw/oissues,1,176
15,giro d'italia,2017,199,Visible,Molino-Selvino(bivioperbergamo),1,171.5
2,tirreno-adriatico,2017,229,Visible,Saline-Volterra,1,171
7,tour de suisse,2017,166.3,Hidden,Solden-Rettenbachgletscher,1,163.5
15,giro d'italia,2017,199,Hidden,zognomiragolos.salvatoregpmgirodilombardia,1,160
1,strade bianche,2017,175,Hidden,CollePinzutoOff-RoadCote***-FlandresLove,1,158
2,arctic race of norway,2018,195,Visible,Hopseide,1,157
8,giro d'italia,2017,189,Visible,CoppaSantaTecladaMattinata,1,143
5,int. osterreich-rundfahrt-tour of austria,2017,212.5,Hidden,HochtordaPockhorn,1,143
5,criterium du dauphine,2017,175,Visible,Colduboisclairfacenord,1,142.5
1,tour of the alps,2017,142.3,Visible,Hungerburgfirstpart,1,140
17,giro d'italia,2017,219,Visible,PassoCrocefromSanMichele,1,137
11,giro d'italia,2017,161,Hidden,MONTEFUMAIOLO,1,135.5
18,giro d'italia,2017,137,Hidden,SalitaPontives,1,133.5
2,arctic race of norway,2018,195,Visible,TorskefjorddalenClimb,1,131
20,giro d'italia,2017,190,Visible,MonteGrappadaCaupo-official-,1,124.5
1,tour of the alps,2017,142.3,Hidden,Terfens-Gnadenwald,1,124
6,int. osterreich-rundfahrt-tour of austria,2017,203.9,Visible,HochleckenAtterseeclimb,1,114
18,giro d'italia,2017,137,Visible,PassodiPinei,1,109.5
19,giro d'italia,2017,191,Visible,SellaChianzutandaVerzegnis(tutta),1,105.5
8,giro d'italia,2017,189,Visible,MaddonadelleGrazie-MonteSantAngeloGirod'italia2017,1,101.5
11,giro d'italia,2017,161,Visible,Carnaiodasantasofiafinoalbar,1,101.5
5,int. osterreich-rundfahrt-tour of austria,2017,212.5,Hidden,Iselsbergkurz,1,100
2,criterium du dauphine,2017,171,Visible,Barraccuchet,1,91
1,giro d'italia,2017,206,Hidden,BadesitoTrinitad'AgultueVignola,1,90.5
18,giro d'italia,2017,137,Visible,PASSOGARDENAfromCorvara(firstcrossroad)OfficialClimb,1,85.5
1,strade bianche,2017,175,Visible,StradaProvincialePieveASaltiClimb,1,84
2,criterium du dauphine,2017,171,Hidden,LérigneuxparVerrières,1,83
4,int. osterreich-rundfahrt-tour of austria,2017,82.7,Hidden,AlpenhausKitzbühelerHorn(start161),1,82.7
1,tour of the alps,2017,142.3,Hidden,AschauClimb,1,81
5,criterium du dauphine,2017,175,Visible,ColdeChampJuinparMonsols(RdPoint),1,80.5
1,giro d'italia,2017,206,Hidden,SS134Castelsardo-Multeddu(Ric),1,68
5,criterium du dauphine,2017,175,Visible,Coldufutd'Avenas(vanafVillié-Morgon),1,64
11,giro d'italia,2017,161,Visible,PassodellaCalla(daStia),1,64
17,giro d'italia,2017,219,Visible,PontediLegno-Tonale,1,60.5
18,giro d'italia,2017,137,Visible,cernadoi-passovalparola,1,57.5
1,strade bianche,2017,175,Hidden,salitaMontalcinospBrunello(finoallarotonda),1,57
6,int. osterreich-rundfahrt-tour of austria,2017,203.9,Visible,PaßGeschüttClimb,1,56
3,criterium du dauphine,2017,184,Visible,ColdeFontaille,1,55
3,criterium du dauphine,2017,184,Visible,RetouràSaint-Félicien,1,52
5,int. osterreich-rundfahrt-tour of austria,2017,212.5,Visible,Felbertauern,1,40
11,giro d'italia,2017,161,Hidden,PassoConsuma,1,31.5
18,giro d'italia,2017,137,Visible,Canazei(cartellopasso)-passoPordoi,1,26.5
19,tour de france,2017,222.5,Hidden,ColLebraut,1,26
5,int. osterreich-rundfahrt-tour of austria,2017,212.5,Hidden,PassThurn!,1,17
1,tour of the alps,2017,142.3,Hidden,Sebi-Rettenschöß,1,15
19,giro d'italia,2017,191,Visible,"DaSesto,PassoCroceComelico",1,14.5
17,giro d'italia,2017,219,Visible,Aprica™(Stazzona),1,14
2,criterium du dauphine,2017,171,Visible,CroixBlanchedeChavanne,1,5
