SEGMENT,RACE,CLIMB,year,race,stage,summit,duplicate
https://www.strava.com/segments/7357480?filter=overall,Gran Trittico 2020,Final climb to finish,2020,gran trittico lombardo,1,,0
https://www.strava.com/segments/13883542?filter=overall,Herald Sun Tour 2019 Stage 4,Arthurs Seat,2019,herald sun tour,4,,0
https://www.strava.com/segments/19766281?filter=overall,Herald Sun Tour 2019 Stage 2,Jeeralang,2019,herald sun tour,2,,0
https://www.strava.com/segments/8294298?filter=overall,Il Lombardia 2019,Civiglio,2019,il lombardia,1,,0
https://www.strava.com/segments/12815633?filter=overall,Austria 2018 Stage 5,Grossglockner,2018,int. osterreich-rundfahrt-tour of austria,5,,0
https://www.strava.com/segments/619225?filter=overall,Austria 2018 Stage 3,Kitzbuheler Horn,2018,int. osterreich-rundfahrt-tour of austria,3,,0
https://www.strava.com/segments/15722427?filter=overall,Austria 2019 Stage 3,Nechnitz,2019,int. osterreich-rundfahrt-tour of austria,3,,0
https://www.strava.com/segments/12539528?filter=overall,Austria 2018 Stage 7,Sonntagberg,2018,int. osterreich-rundfahrt-tour of austria,7,,0
https://www.strava.com/segments/11765274?filter=overall,Tour of Basque Country 2019 Stage 5,Arrate,2019,itzulia basque country,5,,0
https://www.strava.com/segments/3913403?filter=overall,Tour of Basque Country 2019 Stage 6,Asentzio,2019,itzulia basque country,6,,0
https://www.strava.com/segments/17123025?filter=overall,Basque Country 2018 Stage 2,San Pelaio,2018,itzulia basque country,2,,0
https://www.strava.com/segments/9363487?filter=overall,Herald Sun Tour 2020 Stage 2,Falls Creek,2020,jayco herald sun tour,2,,0
https://www.strava.com/segments/631265?filter=overall,Herald Sun Tour 2020 Stage 4,Mount Buller,2020,jayco herald sun tour,4,,0
https://www.strava.com/segments/617076?filter=overall,Fleche Wallone 2019,Mur de Huy,2019,la fleche wallonne,1,1,0
https://www.strava.com/segments/17828218?filter=overall,Occitanie 2018 Stage 3,Mont d'Ormes,2018,la route d'occitanie,3,,0
https://www.strava.com/segments/20728887?filter=overall,Occitanie 2019 Stage 1,Aubignac,2019,la route d'occitanie - la depeche du midi,1,1,0
https://www.strava.com/segments/688115?filter=overall,Route d'Occitanie 2020 Stage 3,Col de Beyrede,2020,la route d'occitanie - la depeche du midi,3,1,0
https://www.strava.com/segments/940788?filter=overall,Occitanie 2019 Stage 3,Hospice de France,2019,la route d'occitanie - la depeche du midi,3,1,0
https://www.strava.com/segments/18613402?filter=overall,Vuelta 2018 Stage 4,Alfacar,2018,la vuelta ciclista a espana,4,,0
https://www.strava.com/segments/21748340?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 16,Alto de la Cubilla,2019,la vuelta ciclista a espana,16,,0
https://www.strava.com/segments/18826402?filter=overall,Vuelta 2018 Stage 17,Balcon de Bizkaia,2018,la vuelta ciclista a espana,17,1,0
https://www.strava.com/segments/20235130?filter=overall,Vuelta 2018 Stage 20,Gallina,2018,la vuelta ciclista a espana,20,,0
https://www.strava.com/segments/21079233?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 5,Javalambre,2019,la vuelta ciclista a espana,5,1,0
https://www.strava.com/segments/7128872?filter=overall,Vuelta 2018 Stage 13,La Camperona,2018,la vuelta ciclista a espana,13,,0
https://www.strava.com/segments/18732822?filter=overall,Vuelta 2018 Stage 9,La Covatilla,2018,la vuelta ciclista a espana,9,,0
https://www.strava.com/segments/12157376?filter=overall,Vuelta 2018 Stage 15,Lagos de Covadonga,2018,la vuelta ciclista a espana,15,1,0
https://www.strava.com/segments/21324992?filter=overall,Vuelta 2018 Stage 14,Les Praeres,2018,la vuelta ciclista a espana,14,,0
https://www.strava.com/segments/15926937?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 13,Los Machucos,2019,la vuelta ciclista a espana,13,1,0
https://www.strava.com/segments/7125365?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 7,Mas de la Costa,2019,la vuelta ciclista a espana,7,1,0
https://www.strava.com/segments/20892705?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 20,Plataforma de Gredos,2019,la vuelta ciclista a espana,20,,0
https://www.strava.com/segments/7185252?filter=overall,Vuelta 2018 Stage 19,Rabassa Naturlandia,2018,la vuelta ciclista a espana,19,,0
https://www.strava.com/segments/16394765?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 15,Santuario del Acebo,2019,la vuelta ciclista a espana,15,1,0
https://www.strava.com/segments/25233016?filter=overall,Tour Savoie Mont Blanc 2020 Stage 5,Mont Le Revard,2020,le tour de savoie mont blanc,5,,0
https://www.strava.com/segments/7148567?filter=overall,Liege Bastogne Liege 2019,Roche aux Faucons,2019,liege-bastogne-liege,1,0,0
https://www.strava.com/segments/626919?filter=overall,Milan Sanremo 2020,Poggio di Sanremo,2020,milano-sanremo,1,0,0
https://www.strava.com/segments/13587816?filter=overall,Milano Torino 2019,Basilica Superga,2019,milano-torino,1,1,0
https://www.strava.com/segments/13587816?filter=overall,Milano Torino 2018,Basilica Superga,2018,milano-torino,1,1,1
https://www.strava.com/segments/13587816?filter=overall,Milano Torino 2017,Basilica Superga,2017,milano-torino,1,1,1
https://www.strava.com/segments/25215423?filter=overall,Mont Ventoux Denivele Challenge 2020,Mont Ventoux,2020,mont ventoux denivele challenge,1,1,0
https://www.strava.com/segments/608910?filter=overall,Omloop het Nieuwsblad 2020,Bosberg,2020,omloop het nieuwsblad elite,1,0,0
https://www.strava.com/segments/24285371?filter=overall,Omloop her Nieuwsblad 2020,Muur Geraardsbergen,2020,omloop het nieuwsblad elite,1,0,0
https://www.strava.com/segments/2646437?filter=overall,Tour of Britain 2018 Stage 6,Whinlatter Pass,2018,ovo energy tour of britain,6,,0
https://www.strava.com/segments/4254754?filter=overall,Paris Nice 2019 Stage 8,Col de Quatre Chemins,2019,paris - nice,8,,0
https://www.strava.com/segments/20399899?filter=overall,Paris Nice 2019 Stage 7,Col de Turini,2019,paris - nice,7,,0
https://www.strava.com/segments/21292487?filter=overall,Paris Nice 2018 Stage 6,La Colle sur Loup,2018,paris - nice,6,,0
https://www.strava.com/segments/632809?filter=overall,Paris - Nice 2020 Stage 7,La Colmiane,2020,paris - nice,7,1,0
https://www.strava.com/segments/632809?filter=overall,Paris - Nice 2018 Stage 7,La Colmiane,2018,paris - nice,7,1,1
https://www.strava.com/segments/22468161?filter=overall,Pollenca Andratx 2020,Port Andratx,2020,pollenca - andratx,1,1,0
https://www.strava.com/segments/20362717?filter=overall,Tour of Turkey 2019 Stage 5,Kartepe,2019,presidential cycling tour of turkey,5,1,0
https://www.strava.com/segments/629108?filter=overall,Tour Down Under Stage 6 2020,Old Willunga Hill,2020,santos tour down under,6,1,0
https://www.strava.com/segments/629108?filter=overall,Down Under Stage 6 2019,Old Willunga Hill,2019,santos tour down under,6,1,1
https://www.strava.com/segments/629108?filter=overall,Down Under Stage 5 2018,Old Willunga Hill,2018,santos tour down under,5,1,1
https://www.strava.com/segments/629108?filter=overall,Down Under Stage 5 2017,Old Willunga Hill,2017,santos tour down under,5,1,1
https://www.strava.com/segments/10709872?filter=overall,Coppa e Bartali 2020 Stage 2,Sogliano,2020,settimana internazionale coppi e bartali,2,,0
https://www.strava.com/segments/669983?filter=overall,Tour of Utah 2019 Stage 3,Eagle Ridge,2019,the larry h.miller tour of utah,3,,0
https://www.strava.com/segments/7704174?filter=overall,Tour of Utah 2019 Stage 6,Empire Pass,2019,the larry h.miller tour of utah,6,,0
https://www.strava.com/segments/17512970?filter=overall,Tour of Utah 2019 Stage 2,Powder Mountain,2019,the larry h.miller tour of utah,2,,0
https://www.strava.com/segments/756002?filter=overall,Tour of Utah 2018 Stage 5,Snowbird,2018,the larry h.miller tour of utah,5,,0
https://www.strava.com/segments/17433222?filter=overall,Tirreno Adriatico 2019 Stage 4,I Capuccini,2019,tirreno-adriatico,4,,0
https://www.strava.com/segments/21826731?filter=overall,Tirreno Adriatico 2020 Stage 4,Ospiadaletto,2020,tirreno-adriatico,4,,0
https://www.strava.com/segments/16135582?filter=overall,Tirreno Adriatico 2019 Stage 5,Recanati,2019,tirreno-adriatico,5,,0
https://www.strava.com/segments/21586343?filter=overall,Tirreno Adriatico 2020 Stage 5,Sassotetto,2020,tirreno-adriatico,5,1,0
https://www.strava.com/segments/10587614?filter=overall,Tirreno Adriatico 2018 Stage 3,Trevi,2018,tirreno-adriatico,3,,0
https://www.strava.com/segments/948454?filter=overall,Tour Haut Var 2019 Stage 2,Mons Moulins,2019,tour cycliste international du haut var,2,,0
https://www.strava.com/segments/683473?filter=overall,Tour de France 2018 Stage 12,Alpe d'Huez,2018,tour de france,12,1,0
https://www.strava.com/segments/17483989?filter=overall,Tour de France 2018 Stage 10,Col de Colombiere,2018,tour de france,10,0,0
https://www.strava.com/segments/25722363?filter=overall,TDF 2020 Stage 17,Col de la Loze,2020,tour de france,17,1,0
https://www.strava.com/segments/12399931?filter=overall,TDF 2020 Stage 6,Col de la Lusette,2020,tour de france,6,0,0
https://www.strava.com/segments/1063663?filter=overall,Tour de France 2018 Stage 14,Col de Mende,2018,tour de france,14,1,0
https://www.strava.com/segments/12839817?filter=overall,TDF 2020 Stage 8,Col de Peyresourde,2020,tour de france,8,0,0
https://www.strava.com/segments/12771926?filter=overall,Tour de France 2018 Stage 17,Col de Portet,2018,tour de france,17,1,0
https://www.strava.com/segments/25448755?filter=overall,Tour de France 2018 Stage 16,Col de Portillon,2018,tour de france,16,0,0
https://www.strava.com/segments/7340622?filter=overall,TDF 2019 Stage 3,Cote de Mutigny,2019,tour de france,3,0,0
https://www.strava.com/segments/5211636?filter=overall,TDF 2017 Stage 17,Galibier,2017,tour de france,17,,0
https://www.strava.com/segments/5211636?filter=overall,TDF 2019 Stage 18,Galibier,2019,tour de france,18,0,0
https://www.strava.com/segments/644707?filter=overall,TDF 2020 Stage 15,Grand Colombier,2020,tour de france,15,1,0
https://www.strava.com/segments/8055997?filter=overall,TDF 2019 Stage 19,Iseran,2019,tour de france,19,1,0
https://www.strava.com/segments/25189841?filter=overall,TDF 2017 Stage 18,Izoard,2017,tour de france,18,,0
https://www.strava.com/segments/12759199?filter=overall,Tour de France 2018 Stage 11,La Rosiere,2018,tour de france,11,1,0
https://www.strava.com/segments/25615931?filter=overall,TDF 2020 Stage 9,Marie Blanque,2020,tour de france,9,0,0
https://www.strava.com/segments/18351558?filter=overall,TDF 2017 Stage 9,Mont du Chat,2017,tour de france,9,,0
https://www.strava.com/segments/17483939?filter=overall,TDF 2020 Stage 18,Montee du Plateau des Glieres,2020,tour de france,18,0,0
https://www.strava.com/segments/674937?filter=overall,Tour de France 2018 Stage 6,Mur de Bretagne,2018,tour de france,6,1,0
https://www.strava.com/segments/17803606?filter=overall,TDF 2017 Stage 13,Mur de Peguere,2017,tour de france,13,0,0
https://www.strava.com/segments/18559184?filter=overall,TDF 2020 Stage 4,Orcierres Merlette,2020,tour de france,4,1,0
https://www.strava.com/segments/14970930?filter=overall,TDF 2017 Stage 12,Peyragudes Altiport,2017,tour de france,12,1,0
https://www.strava.com/segments/21248491?filter=overall,Tour de France 2019 Stage 6,Planche des Belles Filles,2019,tour de france,6,1,0
https://www.strava.com/segments/12054386?filter=overall,TDF 2017 Stage 5,Planche des Belles Filles (Short),2017,tour de france,5,1,0
https://www.strava.com/segments/19199597?filter=overall,TDF 2019 Stage 15,Prat d'Albis,2019,tour de france,15,1,0
https://www.strava.com/segments/12403656?filter=overall,TDF 2020 Stage 13,Puy Mary,2020,tour de france,13,1,0
https://www.strava.com/segments/10252510?filter=overall,TDF 2020 Stage 12,Sac au Mary,2020,tour de france,12,0,0
https://www.strava.com/segments/12908982?filter=overall,Tour de France 2018 Stage 19,Soulor / Aubisque,2018,tour de france,19,0,0
https://www.strava.com/segments/21716465?filter=overall,TDF 2020 Stage 16,St Nizier,2020,tour de france,16,0,0
https://www.strava.com/segments/15369135?filter=overall,TDF 2017 Stage 8,Station Rousses,2017,tour de france,8,0,0
https://www.strava.com/segments/21249932?filter=overall,TDF 2019 Stage 14,Tourmalet,2019,tour de france,14,1,0
https://www.strava.com/segments/15762445?filter=overall,TDF 2019 Stage 20,Val Thorens,2019,tour de france,20,1,0
https://www.strava.com/segments/10163499?filter=overall,Tour of Hongrie Stage 5 2020,Kekesteto,2020,tour de hongrie,5,,0
