NAME,HIGH,LOW,Betway
Elia Viviani,3,3,3
Niccolo Bonifazio,5,5,5
Sonny Colbrelli,7.5,7.5,7.5
Bryan Coquard,4,4,4
Clement Venturini,11,11,11
Simone Consonni,26,26,26
Andrea Pasqualon,13,13,13
Luis Leon Sanchez,41,41,41
Arbid de Kleijn,51,51,51
Matteo Malucelli,51,51,51
Christophe Laporte,26,26,26
Yevgeny Gidich,51,51,51
Benoit Cosnefroy,51,51,51
Giovanni Lonardi,81,81,81
Jens Debusschere,81,81,81
Anthony Maldonado,51,51,51
Omar Fraile,81,81,81
Piotr Havik,81,81,81
Adrien Petit,101,101,101
Aime de Gendt,101,101,101
Anthony Turgis,101,101,101
Bram Welten,101,101,101
Fabio Sabatini,101,101,101
Lilian Calmejane,101,101,101
