Miguel Angel Lopez,4.5,4.5
Dan Martin,6,6
Remco Evenepoel,6,6
Rui Costa,9,9
Michal Kwiatkowski,12,12
Geraint Thomas,15,15
Maximilian Schachmann,15,15
Tim Wellens,15,15
Bauke Mollema,19,19
Rohan Dennis,23,23
Vincenzo Nibali,23,23
Luis Leon Sanchez,29,29
Dries de Bondt,34,34
Jan Polanc,34,34
Leonard Kamna,41,41
Patrick Bevin,41,41
Mathieu van der Poel,51,51
Amaro Antunes,67,67
Felix Grosschartner,67,67
Xandro Meurisse,67,67
Simon Geschke,81,81
Greg van Avermaet,101,101
Joe Dombrowski,101,101
Jonathan Castroviejo,101,101
Luis Angel Mate,101,101
Stefun Kung,101,101
Yves Lampaert,101,101
Jasper Stuyven,151,151
Ryan Mullen,151,151
Edgar Pinto,151,151
Andreas Leknessund,151,151
Aime de Gendt,201,201
Alexys Brunel,201,201
Ben Swift,201,201
Cees Bol,201,201
Florian Senechal,201,201
Matteo Trentin,201,201
Michael Schar,201,201
Niklas Arndt,201,201
Nils Politt,201,201
Philippe Gilbert,201,201
Tobias Ludvigsson,201,201
Tom Bohli,201,201
Davide Cimolai,251,251
Ilan van Wilder,251,251
Joao Almeida,251,251
Mads Schmidt,251,251
Mads Wurtz,251,251
Nathan van Hooydonck,251,251
