NAME,HIGH,LOW,Betway
Fernando Gaviria,2.87,2.87,2.87
Sam Bennett,3.2,3.2,3.2
Arnaud Demare,8,8,8
Matteo Trentin,8,8,8
Giacomo Nizzolo,10,10,10
Matteo Moschetti,15,15,15
Edward Theuns,17,17,17
Jon Aberasturi,21,21,21
Jasper Stuyven,29,29,29
Davide Cimolai,34,34,34
Rafal Majka,34,34,34
Alejandro Valverde,41,41,41
Remco Evenepoel,41,41,41
Martin Laas,51,51,51
Jay McCarthy,67,67,67
Juan Jose Lobato,67,67,67
Mark Cavendish,67,67,67
Max Walschied,81,81,81
Max Richeze,101,101,101
Riccardo Minali,10,10,10
Baptiste Planckaert,125,125,125
Lionel Taminiaux,125,125,125
Michael Morkov,151,151,151
Yves Lampaert,151,151,151
Alex Aranburu,251,251,251
Biniam Girmay,251,251,251
