NAME,HIGH,LOW,Betway
Egan Bernal,7,7,7
Primoz Roglic,2.87,2.87,2.87
Richie Porte,41,41,41
Geraint Thomas,19,19,19
Nairo Quintana,67,67,67
Guillaume Martin,23,23,23
Bauke Mollema,34,34,34
Dan Martin,15,15,15
Tom Dumoulin,13,13,13
Jesus Herrada,34,34,34
Joao Almeida,12,12,12
Steven Kruijswijk,81,81,81
Chris Froome,67,67,67
George Bennett,67,67,67
Andrea Bagioli,15,15,15
Tao Geoghegan Hart,19,19,19
Georg Zimmermann,67,67,67
Mauri Vansevenant,67,67,67
Carl Fredrik Hagen,81,81,81
Sam Oomen,81,81,81
Fabio Aru,101,101,101
Julien Bernard,101,101,101
Nans Peters,101,101,101
Nicolas Edet,101,101,101
Fernando Barcelo,126,126,126
Simon Pellaud,126,126,126
Tom Jelte-Slagter,126,126,126
Aurelien Paret Peintre,151,151,151
Cyril Gautier,151,151,151
Ilan Van Wilder,34,34,34
Stefan Bissegger,34,34,34
Tom Skujins,34,34,34
Valerio Conti,34,34,34
Alexis Vuillermoz,41,41,41
Odd Christian Eiking,41,41,41
Edward Planckaert,151,151,151
Joe Dombrowski,151,151,151
Jonathan Hivert,151,151,151
Rein Taaramae,151,151,151
Remi Cavagna,151,151,151
Robert Power,151,151,151
Aleksandr Riabushenko,201,201,201
Jan Hirt,201,201,201
Remy Rochas,201,201,201
Simone Petilli,201,201,201
Erik Fetter,251,251,251
Joey Rosskopf,251,251,251
Winner Anacona,251,251,251
