Giacomo Nizzolo,3.5,3.5
Nacer Bouhanni,4.33,4.33
Jakub Mareczko,11,11
Magnus Cort,11,11
Timothy Dupont,11,11
Reinardt Janse Van Rensburg,15,15
Tom Van Asbroeck,19,19
Lorenzo Manzin,21,21
Chris Lawless,26,26
Norman-Vahtra,29,29
Pierre Barbier,29,29
Alexander Kamp,34,34
Bram Welten,41,41
Gabriel Cullaigh,41,41
Julian-Duval,51,51
Luca-Mozzato,51,51
Sep Vanmarcke,51,51
Simon Clarke,51,51
Tom-Jelte Slagter,51,51
Alex Aranburu,67,67
Alexey Lutsenko,67,67
Anthony Maldonado,67,67
Attila-Valter,67,67
Biniyam-Ghirmay,67,67
Damien Touzé,67,67
Eduard Prades,67,67
Enrico Gasparotto,67,67
Fabio Felline,67,67
Jacopo Mosca,67,67
Jonas Koch,67,67
Kasper Asgreen,67,67
Owain Doull,67,67
Cyril Barthe,81,81
Dries Devenyns,81,81
Gianni Moscon,81,81
Jonathan Hivert,81,81
Rémi Cavagna,81,81
Antoine Duchesne,101,101
Julien Antomarchi,101,101
Sebastian-Mores,101,101
Alex Howes,151,151
Alexandre Geniez,151,151
Chad Haga,151,151
David Gaudu,151,151
Domenico Pozzovivo,151,151
Eddie Dunbar,151,151
Fernando Barceló,151,151
François Bidard,151,151
Gorka Izagirre,151,151
Hugh John Carthy,151,151
Ian Stannard,151,151
Jan Hirt,151,151
Jesús Herrada,151,151
Johan Jacobs,151,151
Julien Bérard,151,151
Lluís Mas Bonet,151,151
Marc Hirschi,151,151
Nairo Quintana Rojas,151,151
Nans Peters,151,151
Nico Denz,151,151
Niklas Eg,151,151
Pavel Sivakov,151,151
Pieter Serry,151,151
Robert Gesink,151,151
Roman Kreuziger,151,151
Ruben Guerreiro,151,151
Rudy Molard,151,151
Sam Oomen,151,151
Sepp Kuss,151,151
Serge Pauwels,151,151
Thibaut Pinot,151,151
Warren Barguil,151,151
Wilco Kelderman,151,151
Winner Anacona,151,151
Yoann Offredo,151,151
