NAME,HIGH,LOW,BETWAY
Maximilian Schachmann,4,4,4
Remco Evenepoel,5,5,5
Dan Martin,5.5,5.5,5.5
Miguel Angel Lopez,6,6,6
Rui Costa,8.5,8.5,8.5
Tim Wellens,9,9,9
Bauke Mollema,19,19,19
Mathieu van der Poel,19,19,19
Michal Kwiatkowski,21,21,21
Amaro Antunes,29,29,29
Vincenzo Nibali,29,29,29
Geraint Thomas,34,34,34
Luis Leon Sanchez,34,34,34
Greg van Avermaet,41,41,41
Joao Rodrigues,41,41,41
Frederico Figueiredo,51,51,51
Lennard Kamna,51,51,51
Philippe Gilbert,51,51,51
Simon Geschke,51,51,51
Jan Polanc,81,81,81
Matteo Trentin,81,81,81
Rohan Dennis,81,81,81
Ben Swift,101,101,101
Harold Tejeda,101,101,101
Joao Almeida,101,101,101
Joe Dombrowski,101,101,101
Simone Petilli,101,101,101
Vicente Garcia de Mateos,101,101,101
Luis Fernandes,151,151,151
Patrick Bevin,151,151,151
Stefun Kung,151,151,151
Xandro Meurisse,151,151,151
Yves Lampaert,151,151,151
