Sonny Colbrelli,3.6,3.5,0.277777778
Dylan Teuns,4.5,4.5,0.222222222
Oliver Naesen,15,13,0.066666667
Juan José Lobato,15,15,0.066666667
Matej Mohoric,19,17,0.052631579
Clément Venturini,21,19,0.047619048
Marco Canola,23,21,0.043478261
Andrea Pasqualon,23,23,0.043478261
Jakob Fuglsang,26,23,0.038461538
Julien Simon,26,26,0.038461538
Pello Bilbao,29,26,0.034482759
Petr Vakoc,34,26,0.029411765
Bryan Coquard,34,34,0.029411765
Edoardo Affini,34,34,0.029411765
Enrique Sanz Unzué,34,34,0.029411765
Mikel Landa,41,26,0.024390244
Jack Haig,41,34,0.024390244
Silvan Dillier,51,51,0.019607843
Loïc Vliegen,67,26,0.014925373
Simone Velasco,67,51,0.014925373
Maurits Lammertink,67,67,0.014925373
Orluis Aular,67,67,0.014925373
Valerio Conti,67,67,0.014925373
Alexander Edmondson,81,41,0.012345679
Jon Izagirre,81,41,0.012345679
Amaury Capiot,81,67,0.012345679
Stefano Oldani,81,67,0.012345679
Chris Harper,101,81,0.00990099
Gonzalo Serrano,101,101,0.00990099
Hugo Houle,101,101,0.00990099
James Shaw,101,101,0.00990099
Jan Bakelants,101,101,0.00990099
Rasmus Quaade,101,101,0.00990099
Stijn Vandenbergh,101,101,0.00990099
Jelle Vanendert,126,51,0.007936508
Antwan Tolhoek,126,101,0.007936508
Marc Soler,151,67,0.006622517
Alexis Gougeard,151,81,0.006622517
Rubén Fernández,151,81,0.006622517
Matthew Holmes,151,101,0.006622517
Martijin Budding,151,151,0.006622517
Paul Martens,151,151,0.006622517
Tomasz Marczynski,201,81,0.004975124
Enric Mas Nicolau,201,101,0.004975124
Brandon Mc Nulty,201,151,0.004975124
Floris De Tier,201,151,0.004975124
Jordi Warlop,201,151,0.004975124
Andre Zeits,201,201,0.004975124
Brent Bookwalter,201,201,0.004975124
Jérôme Cousin,201,201,0.004975124
Martijn Budding,201,201,0.004975124
Niki Terpstra,201,201,0.004975124
Mikel Bizkarra,251,201,0.003984064
Sebastian Schönberger,251,201,0.003984064
Damiano Caruso,251,251,0.003984064
David De La Cruz,251,251,0.003984064
Evgeny Shalunov,251,251,0.003984064
Harm Vanhoucke,251,251,0.003984064
Mark Padun,251,251,0.003984064
Sander Armée,301,201,0.003322259
Alexander Konychev,301,301,0.003322259
Connor Swift,301,301,0.003322259
Eliot Lietaer,301,301,0.003322259
Mikel Nieve,301,301,0.003322259
Scott Thwaites,301,301,0.003322259
Sondre H Enger,301,301,0.003322259
Thomas Boudat,301,301,0.003322259
Thomas Sprengers,301,301,0.003322259
Alessandro Covi,351,351,0.002849003
Jens Debusschere,401,301,0.002493766
Vadim Pronskiy,401,301,0.002493766
Ángel Madrazo,401,401,0.002493766
Antonio Pedrero,401,401,0.002493766
Diego Rubio,401,401,0.002493766
Dries Van Gestel,401,401,0.002493766
Kevin Deltombe,401,401,0.002493766
Mikel Iturria,401,401,0.002493766
Nikita Stalnov,401,401,0.002493766
Óscar Cabedo Cardá,501,501,0.001996008
Edward Ravasi,501,501,0.001996008
Jimmy Janssens,501,501,0.001996008
Juan Felipe Osorio,501,501,0.001996008
Kevin Reza,501,501,0.001996008
Louis Vervaeke,501,501,0.001996008
Lukasz Owsian,501,501,0.001996008
Nelson Oliveira,501,501,0.001996008
Roger Adria,501,501,0.001996008
Romain Sicard,501,501,0.001996008
Vegard Stake Laengen,501,501,0.001996008
Anthony Delaplace,601,601,0.001663894
Artem Nych,601,601,0.001663894
Christoffer Lisson,601,601,0.001663894
Garikoitz Bravo,601,601,0.001663894
Jaime Castrillo,601,601,0.001663894
Jorge Arcas,601,601,0.001663894
Kobe Goossens,601,601,0.001663894
Sindre Skjøstad Lunke,601,601,0.001663894
Willie Smit,601,601,0.001663894
Aleksey Rybalkin,751,751,0.001331558
