Name,High,Low
Sam Bennett,4.5,4.25
Caleb Ewan,5,5
Pascal Ackermann,5.25,4
Cees Bol,10,7.5
Giacomo Nizzolo,11,10
Peter Sagan,15,12
Elia Viviani,17,12
Jasper Stuyven,21,21
Maximilian Schachmann,29,29
Julian Alaphilippe,34,29
Nacer Bouhanni,34,29
Nils Politt,51,34
Michael Matthews,51,41
Rudy Barbier,51,41
John Degenkolb,51,51
Iván García Cortina,67,67
Mads Pedersen,67,67
Sergio Higuita,67,67
Bryan Coquard,81,51
Hugo Hofstetter,81,51
Maximilian Walscheid,81,67
Kasper Asgreen,81,81
Zdenek Stybar,81,81
Edward Theuns,101,67
Søren Kragh Andersen,101,81
Yves Lampaert,101,81
Bob Jungels,126,101
Oliver Naesen,126,101
Philippe Gilbert,126,101
Tiesj Benoot,151,41
Niccolò Bonifazio,151,81
Vincenzo Nibali,151,151
Marc Sarreau,201,126
Mads Würtz Schmidt,201,201
Felix Grossschartner,251,201
Dylan Teuns,301,251
Nikias Arndt,301,251
Jasper De Buyst,301,301
Michael Mørkøv,301,301
Stefan Küng,301,301
Alberto Bettiol,351,301
Sep Vanmarcke,351,301
Victor Campenaerts,351,301
Andrea Pasqualon,401,201
Jens Debusschere,401,201
Heinrich Haussler,401,251
Daniel Mc Lay,401,301
Ryan Gibbons,401,301
Benoît Cosnefroy,401,401
Kevin Reza,401,401
Krists Neilands,401,401
Patrick Konrad,401,401
Pello Bilbao,401,401
Thomas De Gendt,401,401
Xandro Meurisse,401,401
Jempy Drucker,501,401
Thibaut Pinot,501,401
Tom Van Asbroeck,501,401
Niki Terpstra,501,501
Piet Allegaert,501,501
Boy Van Poppel,601,401
Adrien Petit,601,501
Jonathan Hivert,601,501
Michael Valgren,601,501
Nairo Quintana Rojas,601,601
Tim Declercq,601,601
Tobias Ludvigsson,601,601
Nils Eekhoff,751,501
Roger Kluge,751,501
Alex Kirsch,751,601
Alexis Gougeard,751,601
Anthony Turgis,751,601
Damien Touzé,751,601
Michael Woods,751,601
Rudy Molard,751,601
Connor Swift,751,751
Cyril Lemoine,751,751
Jenthe Biermans,751,751
Evaldas Šiškevicius,1001,601
Ramunas Navardauskas,1001,601
Romain Bardet,1001,601
Tanel Kangert,1001,601
Tom Devriendt,1001,601
Cyril Barthe,1001,1001
Jan Tratnik,1001,1001
Julien Simon,1001,1001
Michael Schwarzmann,1001,1001
Olivier Le Gac,1001,1001
Tim De Clerq,1001,1001
